"","PTC","PTN","CVBFAvg","logKSb","p"
"404",-19.0699336135463,-4.67471723764494,-4.85075485085687,0,0.201417246431719
"405",-4.77136767134597,7.28167636770712,8.44114246941685,0.173545700506605,0.512778589268331
"406",16.8093713581004,24.3328515577314,26.9912674926164,3.48415482932251,0.833598842106204
"407",-23.3892985586617,-4.91358000511386,-5.83594568766628,0.066752896920392,0.155251380413366
"408",14.0110176264374,25.1203607793715,24.8872292585441,6.57991853861685,0.638641886235867
"409",6.99446396675191,18.1846575570874,20.7278555884949,3.04988364837497,0.787857253321251
"410",-28.1974373451656,-9.50324734618961,-10.7791834254399,0,0.0345667026798195
"411",42.8191702651897,48.4906202406561,47.3859297284248,13.5146455002064,0.995640799920699
"412",22.4311708894793,31.0024142243819,31.0691449979014,8.432028776804,0.804651444623051
"413",19.0941730674545,27.413142714415,30.7349823862376,8.1095742407201,0.796496315938044
"414",-15.1539652398591,-2.12671565474038,-1.99673481852969,0,0.362994292468914
"415",-20.4244559617351,-6.53613551185406,-4.98277939019002,0,0.20811762903963
"416",-19.1224705849132,-4.27159673416731,-3.06196018508167,4.91666704344628e-06,0.108908021193425
"417",41.6173884734656,46.3873948715592,46.8916357004844,13.1167706760445,0.99946996221932
"418",35.4367513649948,39.3646360633355,42.4036865454825,7.79260431645197,0.956009442896841
"419",-15.1774473960923,-0.942935290262469,-2.19942559834461,0,0.246402860560173
"420",-18.779032477144,-3.6537486341191,-4.83588048996845,0,0.0942060624159743
"421",35.5829725006636,43.6589792026916,43.3890150925643,10.1260429073501,0.958831656173974
"422",-25.7073431490419,-5.6355886746456,-8.55622732239993,0,0.00454932362008559
"423",-10.5646747932015,-0.677170292413834,0.611568985950942,0.409920551378135,0.22229360267041
"424",-14.34390357202,-2.4273744675438,-1.21856775400988,0,0.235784469706232
"425",-19.5255543753056,-2.76930601989108,-5.45794640977084,0.00819468472626163,0.205236080883474
"426",14.2420239473392,22.7569212329237,23.0155284855949,5.18977200439647,0.760508920544375
"427",-10.0022137856766,2.47590158310406,5.1046601136094,0.72531031560872,0.41411235207224
"428",1.55256365307492,7.48629446738263,15.8282467982307,1.72450350480433,0.768080831414126
"429",30.7914531350205,34.8514182432325,38.2638096323428,7.48113568925899,0.918971240222042
"430",9.03463836696054,15.768652932179,20.4963252439804,1.89473811309875,0.507697819880792
"431",-23.9178454487749,-7.29612620911136,-8.27701878507537,0,0.165586645240823
"432",-4.13757005148368,6.88660314427887,9.45148027123214,1.11086017839744,0.481424351246799
"433",-17.457390126612,-2.48113593430308,-2.30608091920545,0.173545700506605,0.138944688723163
"434",11.9537293356333,22.390208420596,24.3879816526675,3.2640128312741,0.694829692674612
"435",-1.6796680818871,5.59509972859077,10.2394899233423,0.72531031560872,0.476666520004071
"436",20.7236361397278,24.1688491083679,29.9203153703151,3.7102601299436,0.807276224981273
"437",-15.6652060705436,-1.48238220369389,0.164757942497215,0,0.272222218317274
"438",11.4158985987941,20.3375733215799,23.6458651958702,3.2640128312741,0.846750393676833
"439",18.583938230025,27.0463657200725,29.6383939244009,4.18018072480104,0.982431951828077
"440",37.1908695595399,45.3680355634088,40.3581039266911,8.1095742407201,0.99310758217651
"441",1.92406502242699,10.8538535341729,13.7419623475631,1.89473811309875,0.564858284556811
"442",25.5503580526695,32.4566603546567,31.5273374954542,4.92874285820236,0.936837536324622
"443",-12.028349554023,-0.822956268825244,-0.527878064172796,0,0.30229145266047
"444",-16.352160647914,-2.98704763754513,-1.52188888672864,0.114605780763685,0.233394772907666
"445",30.8317429012892,39.5891869668003,36.9723180468764,6.57991853861685,0.978393320376886
"446",5.91842033842427,11.8944843133014,17.4118397225432,4.18018072480104,0.666541730514075
"447",11.9029052813484,22.6643455333287,22.9823787857283,4.67344620440684,0.752808881461174
"448",-14.7918197221022,-2.35857249753938,-0.865549153336163,0.00819468472626163,0.189365180790311
"449",-15.0697732452348,-1.50161638541666,-6.69258338950038,0.506795107112065,0.0921464293511157
"450",-19.0361351524374,-5.64508245564443,-4.10169077750151,0,0.198782673747305
"451",-19.4541742330854,-5.43532000015547,-6.23507470625721,0,0.202848102810172
"452",-20.1962358908101,-3.74726459630585,-5.42357579573368,0.114605780763685,0.0723436390830475
"453",-16.931493506213,-0.967555992874821,-4.89274975357475,0,0.0868114809024915
"454",-19.471702992998,-6.22054807878574,-4.56230674027876,0,0.119936144512611
"455",32.229616032931,37.1573316082293,38.8117674700079,8.75995208753977,0.979994165162874
"456",-13.500688303487,-0.787143684429118,2.68816894821457,0,0.336239812886774
"457",8.79120671178185,20.0123109980292,20.6797446964172,2.07148102006153,0.676039506285112
"458",-24.8484695179217,-2.64985295739972,-8.54920850138701,0,0.0644769013956453
"459",29.1475044051497,33.5296396205967,35.179878794562,5.45650366997715,0.993357419247451
"460",27.1405412789165,35.6963018557448,37.457231460722,7.79260431645197,0.857938903356003
"461",-1.84634443942547,8.36663497389861,8.21793953007765,0.72531031560872,0.466155393033183
"462",-17.0160017644265,-3.30519426227421,-3.33868216070346,4.91666704344628e-06,0.274014659150283
"463",4.30212784383853,11.2497455985791,17.4173514326705,1.89473811309875,0.677011709796434
"464",-23.0929477820134,-6.81578080124636,-7.06910650533606,0,0.0996932961349293
"465",-8.0203903027413,2.19193690774524,4.0791381308157,0.066752896920392,0.391361840688602
"466",10.6775586831085,20.2738951650242,23.9326516457149,5.72890975803762,0.815894095673866
"467",-5.21412697049364,4.30213062017329,6.82930928649515,0.846360595750931,0.40580994883377
"468",34.4559031719048,41.2388998130214,37.6447989381157,6.87477369387412,0.976191286995187
"469",-15.6017289494897,2.92709144203905,-3.89982690007157,0,0.0108158183339365
"470",-5.81831303004163,3.19741800898337,5.67473096283939,0.173545700506605,0.420084167907336
"471",5.57764074909596,16.452965927422,18.2521457011623,2.44413296536565,0.618334642212794
"472",4.38137515910812,10.530745372223,16.8367213379108,1.72450350480433,0.583346481821208
"473",-23.7819674296328,-6.8250441177842,-8.08707059559728,0,0.0767431885800681
"474",30.5374537404079,38.4334562819381,39.6878993043066,7.79260431645197,0.871280455014463
"475",-21.1038161393794,-3.61217960706323,-7.42037458240299,0,0.0132198706228172
"476",17.2212533150206,27.0723077690074,28.4039410066357,6.57991853861685,0.892380848128565
"477",27.260033873178,37.0677783555994,36.4773380868965,8.75995208753977,0.980171017953842
