"","PTC","PTN","CVBFAvg","logKSb","p","CVBFAvgAdj"
"354",-40.8238937732529,-10.485244367756,-8.55782985769456,1.56087879184431,0.37626258842372,0.728423294507831
"355",44.7089885031196,67.5554093448239,48.130922640919,11.9550965634525,0.927712717832965,55.8330990929853
"356",-50.3636326789527,-14.2591908297241,-10.3166642705743,1.56087879184431,0.00315204907606471,-1.2605858645545
"357",-37.1288077812124,-9.19973078227015,-6.6376969706571,0.242813383263338,0.147105394916759,1.25904566611162
"358",-40.4045482584897,-12.0122124468223,-9.67832551074315,0.066752896920392,0.249811525017472,1.0474385990279
"359",-37.4892398122761,-7.65882953971195,-4.54672949422999,2.44413296536565,0.254713457878659,0.466336665701328
"360",-13.3433802749555,11.8738320841827,8.36975936820282,5.18977200439647,0.556862686400968,9.45614204437703
"361",-50.8088327248083,-15.4451783443413,-10.1762846585063,0.242813383263338,0.000737868068267286,-1.74701478899781
"362",23.4877630832853,42.7382974728125,29.2145407777821,8.75995208753977,0.820622860766542,34.0718932060236
"363",-46.7938862312882,-10.6032348766346,-7.66709927772045,2.07148102006153,0.204338072619632,1.04803310458969
"364",38.2583417139668,63.9304130838469,46.1404706723103,13.9178311832856,0.991687558816394,45.7726309863302
"365",-19.8445952642603,7.57653743276419,5.3891631183529,6.87477369387412,0.429235083996338,12.9870861921538
"366",-50.9362871884425,-16.4817035677524,-12.2472322564119,0.321779830544484,0.107162503368077,-3.80164096548303
"367",27.5194753960812,53.5304278844192,40.4575278339325,15.1591749219779,0.820840526910071,43.6027151435548
"368",32.1146127560989,55.5867744736715,39.7887334774794,16.4480461522737,0.80554422383952,47.4414154757852
"369",-37.8228040544927,-8.29179687634048,-4.64776521008483,0.612030896361093,0.168793458149685,0.288396499902649
"370",-52.7418419356928,-18.6327980220644,-12.8012740666272,0.506795107112065,0.00738539684553726,-1.00053442440656
"371",-27.8280647654015,0.939093764539344,-0.180070296702986,3.7102601299436,0.500585987031409,8.64629841828905
"372",4.84221019837715,30.2769984062432,19.4729075049857,10.4810984257277,0.60691788070728,19.6178495051699
"373",-20.2794087679008,9.66103738293486,3.87910186949199,8.1095742407201,0.527548561691111,13.1622984149475
"374",-16.7271498302617,8.49878172012022,4.57983702663344,6.00696389045377,0.466837776632915,14.2188198354456
"375",-30.1070356911071,-3.86879985883797,-5.0499914802596,2.2546404031774,0.293933771020562,6.31180943559575
"376",-0.423698011557313,24.0457436056122,16.3239475733937,8.75995208753977,0.575944301742526,18.1539808886541
"377",-1.38993607172514,22.3924563259711,13.5986521569843,10.4810984257277,0.614940066769497,17.2408808834278
"378",-26.3874187682645,1.05726318163955,-0.289069091815965,7.79260431645197,0.294810228739941,6.49699465027984
"379",21.6699902136952,43.1570136909331,26.8137922763443,10.8415425815422,0.784515196445027,33.9980573511301
"380",-38.2715093497848,-10.0903015668673,-7.77308942369114,0.846360595750931,0.242224257171704,2.37655364297345
"381",39.6105742679282,63.0565054587572,45.4344328995513,16.0131529977732,0.947547425120432,51.4936475810361
"382",58.7930022238034,85.8740059205757,67.9953305105434,20.5981305074246,0.993478150993946,76.3386179516435
"383",-45.848529017632,-11.1064999388207,-8.17600341174562,0.72531031560872,0.256077351000585,0.570195799564901
"384",-42.4839521187059,-9.79270766480509,-7.58159155753988,0.114605780763685,0.163061338330975,-0.452685797447282
"385",-28.7267056434443,-0.797347086699624,-1.19764246100482,7.79260431645197,0.347995743417961,7.41404393126246
"386",-50.2135679181788,-14.9713556830599,-10.3095341518877,0,0.00206946211259138,-0.767443928356048
"387",-51.3690518388521,-16.2611356520788,-13.4503788638815,4.91666704344628e-06,0.00204563627657366,-3.18026140630025
"388",-48.960197708441,-14.4805183438033,-12.8649787763274,0.612030896361093,0.175839035696989,-1.73547968030852
"389",4.58073547004069,28.8534315271926,19.9957361164432,8.75995208753977,0.580219640657109,25.3048864894151
"390",12.9188742824881,39.2146090022978,25.2262495922403,10.8415425815422,0.851979756924997,25.4874905603831
"391",6.09151514927578,33.4789925797143,21.8274750882151,9.09332912591162,0.732384580575666,21.4245847160056
"392",-40.2290954514252,-7.39799665012813,-4.07301239820587,1.72450350480433,0.327152364529504,1.15962693306414
"393",-6.29795982414998,20.53672357421,13.5485884547837,9.09332912591162,0.589616672632649,18.727892602435
"394",-14.1190635997869,13.4862594253814,9.56229671126854,7.17518595582327,0.411896844768898,12.1252109749389
"395",-46.0485575606945,-13.7491217221874,-11.3611720541203,1.40397683823761,0.0979063959770115,4.68273023291235
"396",39.0183240618724,65.1355848107418,48.9830519863498,17.7842666783921,0.922040009690653,54.2585549286885
"397",-41.5903518035957,-10.1449985531851,-10.0811061327635,2.07148102006153,0.222661467036837,1.37181126438286
"398",-9.16665666971958,10.7000798795002,8.363366543259,5.72890975803762,0.574961735403226,14.1623170379572
"399",50.7834291857873,73.9087576882487,61.0914665532379,15.5835270627977,0.999307554468491,64.4442550730316
"400",40.9344437293964,62.36226998188,46.1492378528495,13.1167706760445,0.897254366548284,50.0255474125932
"401",-17.5414346310948,8.50897721928216,3.72719885938871,6.29064126696229,0.490365120627575,8.63648819989693
"402",-40.5285982341288,-8.77801452310805,-6.79553463406292,2.44413296536565,0.205171360199171,-0.428011594316699
"403",32.9902195537232,59.5252924647952,41.9468867460708,16.4480461522737,0.91266165924032,48.930329257406
"404",-34.6641148666235,0.753218738922151,-0.048069246115426,5.18977200439647,0.201417246431719,3.51403401896138
"405",-20.5290214289836,4.74360177533106,0.64064294224692,3.04988364837497,0.512778589268331,8.71610184876388
"406",26.4801611303507,47.0324485018002,31.6879824374819,13.5146455002064,0.833598842106204,32.9803775193373
"407",-41.4930621589586,-9.09996885777074,-5.62783089547086,0.066752896920392,0.155251380413366,-2.26256521074337
"408",2.17305002863902,25.7397829217916,16.1335003825291,6.29064126696229,0.638641886235867,22.3593753757139
"409",11.5168764392812,37.0056834485986,25.5272876638967,12.3369873354434,0.787857253321251,29.4475710198646
"410",-51.2040854931058,-14.1754601062857,-9.53187643299735,0,0.0345667026798195,-5.29923108588387
"411",65.8328807498035,86.9887634062492,65.0343427981725,22.0755030178859,0.995640799920699,72.4760600733716
"412",28.3490962519907,54.2081471018737,35.0297152896067,15.1591749219779,0.804651444623051,40.2183986706092
"413",17.0633565292474,38.8617496389913,28.3943779660818,9.09332912591162,0.796496315938044,31.5482539481379
